source_file,well_file_no,well_name,api_number,county,section,township,range,quarter_quarter,footages,latitude,longitude,operator,spud_date,completion_date,stimulation_type,field_name,pool,raw_text_sample
W28654.pdf,28654,Spacing Unit Description Kline Federal 5300 41-18,33-053-06028,Gas,57,153N,100W,SWSW,200' FNL & 200' FEL,N/A,N/A,Oasis Petroleum Oasis Petroleum,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,County,"SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION Received IWell File No. 600 EAST BOULEVARD DEPT 405 28654 BISMARCK, ND 58505-0840 FEB 18 2016 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. ND Oil & Gas Division PLEASE SUBMIT THE ORIGINAIL A ND ONE COPY. D Notice of Intent Approximate Start Date D Drilling Prognosis D Spill Report D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Completed D Casing or Line"
W22740.pdf,22099,Oasis Larry 5301 #44-12B,33-053-03911,Gas,57,153N,101W,SESE,197' FNL & 628' FEL,48.082767,-103.612014,M McCammond,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",BAKERNORTH,Ed,"SUNDRY NOTICES AND REPORTS ON WELLS~::-· FORll1t4 INDUSTRIAL COMMISSION OF NORTH DAKOTA --~-0,i.--·',.,(b?/_}, OIL AND GAS DIVISION ""t~;,,' .. <q<j> Well File No. 600 EAST BOULEVARD DEPT 405 ~ J/1 ~ 222100-01 ~ !Jer~l ~ BISMARCK, ND 58505-0840 ?01JNDaltlv;:-D /\..) SFN 5749 (09-2006) .;e ~ /\ 'f!D ¥..,; C. ~ ,;111;.<;,:,jf .G4.§ ~ .l ""'°'"""" (,.. PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. /'& . o. , PLEASE SUBMIT THE ORIGINAL AND ONE COPY. c}I/ , ...... L. ,, 0 Notice of Intent Approximate"
W36047.pdf,36047,Lewis Federal 5300 11-31,33-053-08946,Gas,57,153N,100W,NWNW,N/A,48.035917,-103.603072,Oasis Petroleum,"February 18, 2018",N/A,"Acidizing, Fracture Treatment, Shooting",Strength,Name,"Survey Certification 7327 West Barton Road Casper, WY 82604 (307)-472-6621 Fax (307) 472-5439 Operator Oasis Petroleum Well Name & No. Lewis Federal 5300 11-31 4BR OHAPI # 33-053-08946 County & State McKenzie County, NDSDI Job # OP.016663 Rig Nabors B21 Survey Date 14-Mar-2019 I, Seth M. Burstad , having personal knowledge of all the facts, hereby certify that the attached directional survey run from a measured depth of 0 feet to a measured depth of 16577 feet is true and correct as determined f"
W28655.pdf,28655,Spacing Unit Description Kline Federal 5300 41-1814B,33-053-06029,Kline,57,153N,100W,SWSW,200' FNL & 200' FEL,N/A,N/A,Oasis Petroleum,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",IPool,Name,"INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION · 1Well File No. 600 EAST BOULEVARD DEPT 405 28655 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAIL A ND ONE COPY. D DNotice of Intent Approximate Start Date D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Completed D Casing or Liner D Acidizing November15,2015 D Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qu"
W25159.pdf,25159,COLUMBUS FEDERAL 2-16H,33-053-04855,Mckenziesection,16,153N,101W,SENE,N/A,48.075349,-103.669818,"CONTINENTAL RESOURCES, INC.","October 25, 2013",N/A,"Acidizing, Fracture Treatment, Shooting",BAKERCounty,Name,"Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Feb 28 2014 / 16:48 State Agency person : Responsible Party : CONTINENTAL RESOURCES, INC. Well Operator : CONTINENTAL RESOURCES, INC. Date/Time of Incident : 2/27/2014 12:00:00 AMNDIC File Number : 25159 Facility Number : Well or Facility Name : COLUMBUS FEDERAL 2-16HType of Incident : Tank Overflow Field Name : BAKERCounty : MCKENZIESection : 16 Township : 153 Range : 101 Quarter-Quarter : Qu"
W20197.pdf,20197,WADE FEDERAL 5300 21-30H,33-053-03413,Open,21,153N,100W,SENE,2220' FNL & 200' FEL,48.047061,-103.603206,Oasis Petroleum,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",of,Permit,"Oasis Petroleum North America LLCWade Federal 5300 21-30HServices Performed For: Onsite Geology Performed by: Mike Box, Bob Candito Joseph Large, Mike Grams Oasis Petroleum North America LLC RPM Consulting 1001 Fannin Suite 202 geology@rpmconsultinginc.com Houston Texas 77002 (303) 595-7625 Well Evaluation Oasis Petroleum Corp. USA SW NW Sec. 30, T153N - R100WWade Wade Federal 5300 21-30H McKenzie County, North Dakota Synopsis Wade Federal 5300 21-30H [SW NW Section 21, T153N, R100W] is a latera"
W25158.pdf,25158,TALLAHASSEE 2-16H,33-053-04854,Mckenziesection,16,153N,101W,SENE,N/A,48.075243,-103.669911,"CONTINENTAL RESOURCES, INC.","November 1, 2013",N/A,"Acidizing, Fracture Treatment, Shooting",BAKERCounty,Name,"Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Dec 30 2015 / 09:12 State Agency person : Responsible Party : CONTINENTAL RESOURCES, INC. Well Operator : CONTINENTAL RESOURCES, INC. Date/Time of Incident : 12/29/2015 12:00:00 AMNDIC File Number : 25158 Facility Number : Well or Facility Name : TALLAHASSEE 2-16HType of Incident : Other Field Name : BAKERCounty : MCKENZIESection : 16 Township : 153 Range : 101 Quarter-Quarter : Quarter : Dist"
W90244.pdf,90244,Spacing Unit Description BUCK SHOT SWD 5300 31-31,33-053-90244,Gas,31,153N,100W,NWSW,1710' FSL & 1125' FWL,"48.02'00.22""N","103.35'52.28""W",Edgar Maldonado,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Well,Name,"• Complete items 1, 2, and 3. Also complete item 4 if Restricted Delivery is desired. D Agent • Print your name and address on the reverse D Addressee so that we can return the card to you. • Attach this card to the back of the mailpiece, or on the front if space permits. D. Is delivery address different from item 1? D Yes 1. Article Addressed to: If YES, enter delivery address below: D No Michael Kukuk Received ;is Petroleum North America LLC 1001 Fannin Suite 1500 APR f 1 2016 3. S71Yice Type "
W28652.pdf,28652,Spacing Unit Description Kline Federal 5300 41-18,33-053-06026,Mckenzie,18,153N,100W,SWNW,500' FSL & 237' FWL,N/A,N/A,Oasis Petroleum,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",of,Name,"Oasis Petroleum North America Kline Federal 5300 41-18 10BServices Performed For: Onsite Geology Performed by: Brendan Hargrove Annika Tostengard, Timber Solberg Oasis Petroleum North America RPM Geologic 1001 Fannin Suite 202 geology@rpmconsultinginc.com Houston, TX 77002 (303) 595-7625 WELL EVALUATIONOasis Petroleum Kline Federal 5300 41-18 10BSW SW Sec. 18, T153N, R100WWilliams County, North Dakota Synopsis Oasis Petroleum Kline Federal 5300 41-18 10B [SW SW Sec. 18 T153N R100W] is located ~6"
W25160.pdf,25160,HORIZONTAL WELLCOLUMBUS FEDERAL 3-16H,33-053-04856,Gas,4,153N,101W,SENE,N/A,48.075455,-103.669723,Continental Resources Inc.,"October 16, 2013",N/A,"Acidizing, Fracture Treatment, Shooting",Continental,Name,"AUTHORIZATION TO PURCHASE AND TRAN EASE- FORM 8 INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION Well File No. 600 EAST BOULEVARD DEPT 405 25160 BISMARCK, ND 58505-0840 NDIC CTB No. \ SFN 5698 (03-2000) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND FOUR COPIES. Well Name and Number Qtr-Qtr Section Township Range County w Columbus Federal 3-16H SENE 16 153 N 101 McKenzie Operator Telephone Number Field Continental Resources Inc. 405-234-9000 Baker Addre"
